x,y,z,vx,vy,vz,gmag,bprp
-8.252,0.076,0.074,-13.636,226.471,2.060,8.387,2.028
-8.320,0.007,-0.068,-66.786,242.950,10.062,8.632,2.224
-8.290,0.091,-0.010,-23.296,193.875,-32.380,6.327,1.272
-8.240,-0.075,0.056,-14.047,227.392,-2.675,8.081,2.161
-8.239,0.063,-0.018,23.697,252.512,5.195,6.358,1.219
-8.348,-0.073,0.079,61.398,252.237,-7.017,5.590,0.942
-8.300,0.096,0.002,43.673,238.610,-36.364,8.909,2.147
-8.278,0.015,0.126,-5.560,225.264,4.673,7.022,1.491
-8.387,-0.037,0.062,3.636,216.887,6.907,8.394,1.990
-8.232,0.053,0.080,-53.505,205.657,22.822,3.412,1.036
-8.270,0.095,0.042,35.170,244.205,3.497,7.794,1.766
-8.230,-0.053,0.077,-23.804,222.885,-31.387,5.702,1.082
-8.378,-0.062,0.029,-24.866,253.326,-12.201,6.955,1.436
-8.241,-0.065,-0.018,-33.815,229.062,23.524,8.158,1.944
-8.299,-0.088,-0.017,-18.674,245.186,-11.793,7.172,1.509
-8.369,0.064,0.063,-17.359,195.273,6.527,7.703,1.704
-8.241,-0.065,-0.018,1.520,194.177,-0.479,5.092,0.908
-8.361,0.076,0.009,-1.777,218.906,13.444,7.380,1.642
-8.286,0.046,-0.057,-10.619,185.605,17.593,6.159,1.155
-8.259,0.086,0.061,28.461,246.070,-5.627,3.637,0.615
-8.391,-0.009,-0.011,-7.261,200.426,19.178,8.118,2.090
-8.207,0.033,0.016,49.232,256.588,-6.990,5.326,0.923
-8.285,-0.033,-0.063,-17.724,237.831,2.166,7.224,1.542
-8.274,0.012,-0.066,-19.491,196.096,-15.107,4.789,0.806
-8.274,0.097,0.027,10.750,214.843,10.583,2.959,0.524
-8.245,-0.000,0.113,-6.149,255.007,-8.559,7.803,1.844
-8.356,0.064,0.083,-83.677,224.412,10.936,7.306,1.524
-8.319,-0.049,0.115,5.174,225.235,10.810,3.218,0.691
-8.372,-0.028,-0.033,-21.441,221.702,0.859,0.393,1.180
-8.340,0.041,0.112,-76.024,238.424,-73.138,6.789,1.207
-8.289,-0.097,0.049,-63.482,185.424,-7.912,5.361,1.012
-8.327,0.092,0.002,34.388,246.741,-10.106,8.015,1.754
-8.283,0.096,0.050,-5.895,216.053,0.962,4.814,0.811
-8.241,0.068,0.073,-89.664,200.885,-37.151,6.893,1.426
-8.220,0.023,0.085,-27.431,191.960,-25.013,6.792,1.369
-8.386,0.042,0.058,15.395,223.029,11.708,8.376,2.090
-8.208,-0.024,0.062,6.149,244.965,2.101,7.451,0.827
-8.323,-0.092,-0.002,-7.176,206.281,6.535,3.179,0.803
-8.241,-0.069,-0.012,-12.328,219.437,6.925,6.247,1.193
-8.203,0.023,0.034,31.951,196.973,-28.848,6.247,1.184
-8.385,-0.048,0.054,25.128,252.157,1.426,4.750,0.851
-8.348,0.084,0.052,-2.644,220.170,-10.852,3.719,0.664
